album,album_type,track_number,id_track,name,popularity,explicit,duration_ms,release_date,artists
Me Gusta (with Cardi B & Myke Towers),single,1,7e1VoRlNumuEkXlITMHKLE,Me Gusta (with Cardi B & Myke Towers),64,False,180788,2020-09-18,"['Anitta', 'Myke Towers', 'Cardi B']"
Tá com o Papato (feat. BIN),single,1,5eT9vs7mv4Y4HrBWcP6abV,Tá com o Papato (feat. BIN),52,False,213333,2020-08-28,"['Papatinho', 'Anitta', 'Dfideliz', 'BIN']"
Tócame (feat. Arcangel & De La Ghetto),single,1,4cno0k9jDEFpLAQyHNjqVx,Tócame (feat. Arcangel & De La Ghetto),60,False,166264,2020-07-10,"['Anitta', 'Arcangel', 'De La Ghetto']"
Desce Pro Play (PA PA PA),single,1,4zGtfOglDBfVUypabBwIjQ,Desce Pro Play (PA PA PA),63,False,168507,2020-06-26,"['ZAAC', 'Anitta', 'Tyga']"
Rave de Favela (feat. BEAM),single,1,1K7WzjKDcDdVbKNGrB0gej,Rave de Favela (feat. BEAM),59,True,154153,2020-02-15,"['Major Lazer', 'MC Lan', 'Anitta', 'BEAM']"
Contando Lunares (feat. Anitta & Rauw Alejandro) [Remix],single,1,4r2IrqOOdh3dPUKyvRHaSE,Contando Lunares (feat. Anitta & Rauw Alejandro) - Remix,54,False,270532,2020-02-06,"['Don Patricio', 'Anitta', 'Rauw Alejandro']"
Jogação,single,1,2MKiL2LuTQfVfGKdbmYze3,Jogação,46,False,154402,2020-01-31,"['Anitta', 'Psirico']"
Joga Sua Potranca,single,1,1gsWgGZvy4waIfWPuctvRU,Joga Sua Potranca,41,False,139399,2020-01-17,"['Dj Gabriel do Borel', 'Anitta']"
Até o céu,single,1,0NRP5OIrTcgGvttJlSLO0n,Até o céu,57,False,166829,2019-12-20,"['Anitta', 'MC Cabelinho']"
Meu mel,single,1,0R17DVcbWdNkZRv09VWCIB,Meu mel,53,False,200000,2019-12-13,"['Anitta', 'Melim']"
Bellaquita (Remix),single,1,1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita - Remix,66,True,304733,2019-11-22,"['Dalex', 'Lenny Tavárez', 'Anitta', 'Natti Natasha', 'Farruko', 'Justin Quiles']"
Combatchy (feat. MC Rebecca),single,1,2bPtwnrpFNEe8N7Q85kLHw,Combatchy (feat. MC Rebecca),62,False,157600,2019-11-20,"['Anitta', 'Lexa', 'Luísa Sonza', 'Rebecca']"
Some que ele vem atrás,single,1,2qD7VoDYcrAPY0cVEfpsR5,Some que ele vem atrás,60,False,194771,2019-10-30,"['Anitta', 'Marília Mendonça']"
Complicado,single,1,52vPpP2gEYaBROIS77J38P,Complicado,48,False,179339,2019-10-04,"['Vitão', 'Anitta']"
eXplosion,single,1,6UkSkUIBJZaAiuAbflLa9j,eXplosion,50,False,240000,2019-10-04,"['Black Eyed Peas', 'Anitta']"
Contatinho (Ao Vivo),single,1,4RC2nzqaQygxoVQOVv3XlT,Contatinho - Ao Vivo,59,False,173229,2019-09-06,"['Leo Santana', 'Anitta']"
Muito Calor,single,1,5uVgsAzjO6eJR06VPrqUga,Muito Calor,55,False,185146,2019-07-11,"['Ozuna', 'Anitta']"
Pa' Lante,single,1,24wIxeVejXRhYJPrOFpJbg,Pa' Lante,55,False,174893,2019-06-21,"['Alex Sensation', 'Anitta', 'Luis Fonsi']"
Make It Hot,single,1,3MH4Qwn0qcUvzzqKSLdcnd,Make It Hot,49,False,168397,2019-06-19,"['Major Lazer', 'Anitta', 'Diplo']"
Ugly (English Version),single,1,50jjD5M7AQOuJyF0PidOhj,Ugly - English Version,30,False,192667,2019-04-03,['Anitta']
